"ScientificName","Rank","UID","nPos","nNeg","nTot","IDs"
"Negarnaviricota","phylum","2497569",594,426,1020,"11320,383586,387147,387139,382832,392809,382835,383571,150127,384505,63106,444318,211044,132504,11292,11588,11295,11602,387161,2560602,11276,11235,11269,2560319,1173018,1331831,1968303,1968304,2026007,12455,11259,11246,11250,367120,130763,427773,11232,11234,11243,11260,82824,11251,11256,11255,208893,11253,11252,410078,1933298,11590,11196,1980519,654811,641501,128952,11624,39002,1980494,83192,1980485,46920,37207,42097,1980459,1980486,121791,11241,33727,11553,381513,1144025,41857,103929,11622,11623,11296,63330,381516,88104,130760,11191,132487,36409,11277,11217,1933300,82823,1980456,1980491,284218,644788,165512,381512,417758,447133,461772,11577,11288,186540,2169991,392811,2560580,164326,303316,382781,648856,186538,336092,577543,378830,680692,155220,680690,183741,404573,89172,89169,196462,172149,332747,284202,506282,292039,292045,1980481,59375,421901,183764,468968,754366,155218,432070,472511,427890,418868,357210,370811,414044,562988,562992,464314,421472,411157,641812,402938,352764,162326,385585,384510,380284,352564,359921,449656,371214,352034,645724,565995,186539,11620,1133363,604436,504904,476294,915014,266827,400828,284190,100835,292590,614035,510222,11215,642261,641809,464622,380342,529058,382825,260806,425551,632134,506350,55097,1310532,453057,370810,647923,1570291,644289,279329,556277,479022,683780,1763596,280855"
"Polyploviricotina","subphylum","2497571",334,186,520,"11320,383586,387147,387139,382832,392809,382835,383571,150127,384505,63106,444318,211044,132504,11588,11602,387161,1173018,1331831,1968303,1968304,2026007,367120,130763,427773,1933298,11590,1980519,654811,641501,11624,39002,1980494,83192,1980485,46920,37207,42097,1980459,1980486,11553,381513,1144025,41857,11622,11623,381516,88104,130760,1933300,1980456,1980491,284218,644788,165512,381512,417758,447133,461772,11577,2169991,392811,164326,303316,382781,648856,336092,577543,680692,155220,680690,183741,404573,89172,89169,196462,172149,332747,284202,506282,292039,292045,1980481,59375,421901,183764,468968,754366,155218,432070,472511,427890,418868,357210,370811,414044,562988,562992,464314,421472,411157,641812,402938,352764,162326,385585,384510,380284,352564,359921,449656,371214,352034,645724,11620,1133363,604436,504904,476294,915014,266827,400828,284190,100835,292590,614035,510222,642261,641809,464622,380342,529058,382825,260806,425551,632134,506350,55097,1310532,453057,370810,647923,644289,279329,556277,479022,683780,1763596,280855"
"Insthoviricetes","class","2497577",249,90,339,"11320,383586,387147,387139,382832,392809,382835,383571,150127,384505,63106,444318,211044,132504,387161,1331831,1968303,1968304,2026007,367120,130763,427773,654811,641501,11553,381513,1144025,41857,381516,88104,130760,284218,644788,165512,381512,417758,447133,461772,392811,164326,303316,382781,648856,336092,577543,680692,155220,680690,183741,404573,89172,89169,196462,172149,332747,284202,506282,292039,292045,59375,421901,183764,468968,754366,155218,432070,472511,427890,418868,357210,370811,414044,562988,562992,464314,421472,411157,641812,402938,352764,162326,385585,384510,380284,352564,359921,449656,371214,352034,645724,604436,504904,476294,915014,266827,400828,284190,100835,292590,614035,510222,642261,641809,464622,380342,529058,382825,260806,425551,632134,506350,1310532,453057,370810,647923,644289,279329,556277,479022,683780"
"Articulavirales","order","2499411",249,90,339,"11320,383586,387147,387139,382832,392809,382835,383571,150127,384505,63106,444318,211044,132504,387161,1331831,1968303,1968304,2026007,367120,130763,427773,654811,641501,11553,381513,1144025,41857,381516,88104,130760,284218,644788,165512,381512,417758,447133,461772,392811,164326,303316,382781,648856,336092,577543,680692,155220,680690,183741,404573,89172,89169,196462,172149,332747,284202,506282,292039,292045,59375,421901,183764,468968,754366,155218,432070,472511,427890,418868,357210,370811,414044,562988,562992,464314,421472,411157,641812,402938,352764,162326,385585,384510,380284,352564,359921,449656,371214,352034,645724,604436,504904,476294,915014,266827,400828,284190,100835,292590,614035,510222,642261,641809,464622,380342,529058,382825,260806,425551,632134,506350,1310532,453057,370810,647923,644289,279329,556277,479022,683780"
"Orthomyxoviridae","family","11308",249,90,339,"11320,383586,387147,387139,382832,392809,382835,383571,150127,384505,63106,444318,211044,132504,387161,1331831,1968303,1968304,2026007,367120,130763,427773,654811,641501,11553,381513,1144025,41857,381516,88104,130760,284218,644788,165512,381512,417758,447133,461772,392811,164326,303316,382781,648856,336092,577543,680692,155220,680690,183741,404573,89172,89169,196462,172149,332747,284202,506282,292039,292045,59375,421901,183764,468968,754366,155218,432070,472511,427890,418868,357210,370811,414044,562988,562992,464314,421472,411157,641812,402938,352764,162326,385585,384510,380284,352564,359921,449656,371214,352034,645724,604436,504904,476294,915014,266827,400828,284190,100835,292590,614035,510222,642261,641809,464622,380342,529058,382825,260806,425551,632134,506350,1310532,453057,370810,647923,644289,279329,556277,479022,683780"
"Alphainfluenzavirus","genus","197911",246,89,335,"11320,383586,387147,387139,382832,392809,382835,383571,384505,63106,444318,211044,132504,387161,1331831,1968303,1968304,2026007,367120,130763,427773,654811,641501,381513,1144025,41857,381516,88104,130760,284218,644788,165512,381512,417758,447133,461772,392811,164326,303316,382781,648856,336092,577543,680692,155220,680690,183741,404573,89172,89169,196462,172149,332747,284202,506282,292039,292045,59375,421901,183764,468968,754366,155218,432070,472511,427890,418868,357210,370811,414044,562988,562992,464314,421472,411157,641812,402938,352764,162326,385585,384510,380284,352564,359921,449656,371214,352034,645724,504904,476294,915014,266827,400828,284190,100835,292590,614035,510222,642261,641809,464622,380342,529058,382825,260806,425551,632134,506350,1310532,453057,370810,647923,644289,556277,479022,683780"
"Influenza A","organism","11320",246,89,335,"11320,383586,387147,387139,382832,392809,382835,383571,384505,63106,444318,211044,132504,387161,1331831,1968303,1968304,2026007,367120,130763,427773,654811,641501,381513,1144025,41857,381516,88104,130760,284218,644788,165512,381512,417758,447133,461772,392811,164326,303316,382781,648856,336092,577543,680692,155220,680690,183741,404573,89172,89169,196462,172149,332747,284202,506282,292039,292045,59375,421901,183764,468968,754366,155218,432070,472511,427890,418868,357210,370811,414044,562988,562992,464314,421472,411157,641812,402938,352764,162326,385585,384510,380284,352564,359921,449656,371214,352034,645724,504904,476294,915014,266827,400828,284190,100835,292590,614035,510222,642261,641809,464622,380342,529058,382825,260806,425551,632134,506350,1310532,453057,370810,647923,644289,556277,479022,683780"
